Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Abernathy W.J., Utterback J.M.","","Patterns of industrial innovation",1978,"Technology Review","80","7",,"40","47",,1928,,2-s2.0-0002119982
"Basole R.C.","24329464200;","Visualization of interfirm relations in a converging mobile ecosystem",2009,"Journal of Information Technology","24","2",,"144","159",,154,"10.1057/jit.2008.34",2-s2.0-67049158239
"Basole R.C., Karla J.","24329464200;8151790600;","On the evolution of mobile platform ecosystem structure and strategy",2011,"Business and Information Systems Engineering","3","5",,"313","322",,92,"10.1007/s12599-011-0174-4",2-s2.0-84856518896
"Basole R.C., Russell M.G., Huhtamäki J., Rubens N., Still K., Park H.","",[No title available],2015,"Understanding Business Ecosystem Dynamics: A Data-driven Approach",,"2",,"6","",,1,,2-s2.0-84939811854
"Boudreau K.J.","36439037700;","Let a thousand flowers bloom? An early look at large numbers of software app developers and patterns of innovation",2012,"Organization Science","23","5",,"1409","1427",,203,"10.1287/orsc.1110.0678",2-s2.0-84872530838
"Ciborra C.U.","6603682214;","The Platform Organization: Recombining Strategies, Structures, and Surprises",1996,"Organization Science","7","2",,"103","118",,248,"10.1287/orsc.7.2.103",2-s2.0-0030548713
"Clark K.B.","7402415378;","The interaction of design hierarchies and market concepts in technological evolution",1985,"Research Policy","14","5",,"235","251",,519,"10.1016/0048-7333(85)90007-1",2-s2.0-0000595783
"De Reuver M., Stein S., Hampe F., Bouwman H.","",[No title available],2010,"Towards A Service Platform and Business Model for Mobile Participation, in Ninth International Conference on Mobile Business/Ninth Global Mobility Roundtable",,,,"","",,1,,2-s2.0-84939838679
"Eaton B., Elaluf-Calderwood S., Sørensen C., Yoo Y.","36184910400;22034211800;7102879062;7201926488;","Distributed tuning of boundary resources: The case of Apple's iOS service system",2015,"MIS Quarterly: Management Information Systems","39","1",,"217","243",,133,"10.25300/MISQ/2015/39.1.10",2-s2.0-84939781260
"Gawer A.","6506170616;","Platforms, markets and innovation",2009,"Platforms, Markets and Innovation",,,,"","",416,136,,2-s2.0-73649103409
