Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adner R.","7801600783;","Match your innovation strategy to your innovation ecosystem",2006,"Harvard Business Review","84","4",,"98","107+148",,439,,2-s2.0-33645683761
"Adner R.","","The Wide Lens: What Successful Innovators See That Others Miss",2012,"The Wide Lens: What Successful Innovators See That Others Miss",,,,"","",,39,,2-s2.0-84907473475
"Adner R., Kapoor R.","55904381100;23027335500;","Value creation in innovation ecosystems: How the structure of technological interdependence affects firm performance in new technology generations",2010,"Strategic Management Journal","31","3",,"306","333",,658,"10.1002/smj.821",2-s2.0-77449110302
"Adner R., Kapoor R.","55904381100;23027335500;","Innovation ecosystems and the pace of substitution: Re-examining technology S-curves",2016,"Strategic Management Journal","37","4",,"625","648",,72,"10.1002/smj.2363",2-s2.0-84924944272
"Adner R., Levinthal D.A.","55904381100;7003966546;","What is not a real option: Considering boundaries for the application of real options to business strategy",2004,"Academy of Management Review","29","1",,"74","85",,303,"10.5465/AMR.2004.11851715",2-s2.0-0344162439
"Adner R., Oxley J.E., Silverman B.S.","55904381100;7004427948;7101647920;","Introduction: Collaboration and competition in business ecosystems",2013,"Advances in Strategic Management","30",,,"ix","xviii",,11,"10.1108/S0742-3322(2013)0000030003",2-s2.0-84886481446
"Alexy O., George G., Salter A.J.","36439193000;57201570526;7005775452;","Cui Bono? The selective revealing of knowledge and its implications for innovative activity",2013,"Academy of Management Review","38","2",,"270","291",,132,"10.5465/amr.2011.0193",2-s2.0-84874234691
"Alexy O., West J., Klapper H., Reitzig M.","","Surrendering control to gain advantage: Reconciling openness and the resource-based view of the firm",2017,"Strategic Management Journal",,,,"","",,2,,2-s2.0-85046155576
"Anderson P.","35446616000;","Complexity Theory and Organization Science",1999,"Organization Science","10","3",,"216","232",,975,"10.1287/orsc.10.3.216",2-s2.0-0342687040
"Ansari S.S., Garud R., Kumaraswamy A.","16506228000;6603580477;6602609537;","The disruptor's dilemma: TiVo and the U.S. television ecosystem",2016,"Strategic Management Journal","37","9",,"1829","1853",,60,"10.1002/smj.2442",2-s2.0-84952705701
"Arend R.J., Sarooghi H., Burkemper A.C.","7004227028;56509597100;56486145500;","Effectuation, not being pragmatic or process theorizing, remains ineffectual: Responding to the commentaries",2016,"Academy of Management Review","41","3",,"549","556",,14,"10.5465/amr.2016.0086",2-s2.0-84976274730
"Autio E., Thomas L.D.W.","","Innovation Ecosystems: Implications for Innovation Management",2014,"Oxford Handbook of Innovation Management",,,,"204","228",,109,,2-s2.0-84926228465
"Azoulay P., Repenning N.P., Zuckerman E.W.","14065735100;6701764405;7005380025;","Nasty, brutish, and short: Embeddedness failure in the pharmaceutical industry",2010,"Administrative Science Quarterly","55","3",,"472","507",,40,"10.2189/asqu.2010.55.3.472",2-s2.0-78549287850
"Baker T., Nelson R.E.","24586722400;7404561046;","Creating something from nothing: Resource construction through entrepreneurial bricolage",2005,"Administrative Science Quarterly","50","3",,"329","366",,1181,"10.2189/asqu.2005.50.3.329",2-s2.0-32844463631
"Baldwin C.Y.","",[No title available],2015,"'Bottlenecks, modules and dynamic architectural capabilities",,,,"","",,7,,2-s2.0-84994083433
"Baldwin C.Y., Clark K.B.","",[No title available],2000,"Design Rules: The Power of Modularity",,,,"","",,1992,,2-s2.0-0003501595
"Baldwin C.Y., Woodard C.J.","","Competition in modular clusters",2007,"Competition in modular clusters",,,,"","",,10,,2-s2.0-84875225658
"Bodrožić Z., Adler P.S.","","The evolution of management models",2017,"Administrative Science Quarterly",,,,"","",,1,,2-s2.0-85046143993
"Boudreau K.","36439037700;","Open platform strategies and innovation: Granting access vs. devolving control",2010,"Management Science","56","10",,"1849","1872",,259,"10.1287/mnsc.1100.1215",2-s2.0-77958033399
"Bresnahan T.F., Greenstein S.","6602101039;7005620197;","Technological competition and the structure of the computer industry",1999,"Journal of Industrial Economics","47","1",,"1","40",,251,,2-s2.0-0033482066
"Casadesus-Masanell R., Yoffie D.B.","6507426720;56312797800;","Wintel: Cooperation and conflict",2007,"Management Science","53","4",,"584","598",,73,"10.1287/mnsc.1060.0672",2-s2.0-34247514736
"Ceccagnoli M., Forman C., Huang P., Wu D.J.","12763523200;6603788047;55189357100;7404297774;","Cocreation of valueina platform ecosystem : the case of enterprise software",2012,"MIS Quarterly: Management Information Systems","36","1",,"263","290",,266,,2-s2.0-84859832893
"Chesbrough H.","",[No title available],2003,"Open Innovation: The New Imperative for Creating and Profiting from Technology",,,,"","",,6304,,2-s2.0-0038210300
"Corley K., Gioia D.","7004228468;7003946419;","Building theory about theory building: What constitutes a theoretical contribution?",2011,"Academy of Management Review","36","1",,"12","32",,492,"10.5465/amr.2009.0486",2-s2.0-78650292615
"Davis J.P.","16240902300;","The emergence and coordination of synchrony in organizational ecosystems",2013,"Advances in Strategic Management","30",,,"197","237",,6,"10.1108/S0742-3322(2013)0000030010",2-s2.0-84886494993
"Davis J.P.","16240902300;","The Group Dynamics of Interorganizational Relationships: Collaborating with Multiple Partners in Innovation Ecosystems",2016,"Administrative Science Quarterly","61","4",,"621","661",,39,"10.1177/0001839216649350",2-s2.0-84994193503
"Dhanaraj C., Parkhe A.","8448878200;6601909097;","Orchestrating innovation networks",2006,"Academy of Management Review","31","3",,"659","669",,664,,2-s2.0-33745700809
"Dougherty D., Dunne D.D.","7101912657;27067641800;","Organizing ecologies of complex innovation",2011,"Organization Science","22","5",,"1214","1223",,99,"10.1287/orsc.1100.0605",2-s2.0-82255167603
"Dunne D.D., Dougherty D.","27067641800;7101912657;","Abductive Reasoning: How Innovators Navigate in the Labyrinth of Complex Product Innovation",2016,"Organization Studies","37","2",,"131","159",,14,"10.1177/0170840615604501",2-s2.0-84955506211
"Eaton B., Elaluf-Calderwood S., Sørensen C., Yoo Y.","","Dynamic structures of control and generativity in digital ecosystem service innovation: The cases of the apple and google mobile app stores",2011,"Dynamic Structures of Control and Generativity in Digital Ecosystem Service Innovation: The Cases of the Apple and Google Mobile App Stores",,,,"","",,31,,2-s2.0-84857934499
"Edelman B.","15759507800;","How to launch your digital platform",2015,"Harvard Business Review","2015","April",,"","",9,11,,2-s2.0-85003815118
"Edmondson A.C., Mcmanus S.E.","7003819000;22935006400;","Methodological fit in management field research",2007,"Academy of Management Review","32","4",,"1155","1179",,995,"10.5465/AMR.2007.26586086",2-s2.0-35348992672
"Eisenhardt K.M.","","Building theories from case study research",1989,"Academy of Management Review","14","4",,"532","550",,18655,,2-s2.0-0001073758
"Eisenmann T.R.","6603030219;","Managing proprietary and shared platforms",2008,"California Management Review","50","4",,"31","53",,61,"10.2307/41166455",2-s2.0-51649106496
"Gambardella A., McGahan A.M.","54984906100;6602186334;","Business-model innovation: General purpose technologies and their implications for industry structure",2010,"Long Range Planning","43","2-3",,"262","271",,223,"10.1016/j.lrp.2009.07.009",2-s2.0-77952584831
"Garnsey E., Lorenzoni G., Ferriani S.","57208011090;6602349770;8979037300;","Speciation through entrepreneurial spin-off: The Acorn-ARM story",2008,"Research Policy","37","2",,"210","224",,52,"10.1016/j.respol.2007.11.006",2-s2.0-39549097950
"Gawer A.","6506170616;","Platforms, markets and innovation",2009,"Platforms, Markets and Innovation",,,,"1","396",,57,"10.4337/9781849803311",2-s2.0-85040190478
"Gawer A.","6506170616;","Bridging differing perspectives on technological platforms: Toward an integrative framework",2014,"Research Policy","43","7",,"1239","1249",,270,"10.1016/j.respol.2014.03.006",2-s2.0-84902550958
"Gawer A., Cusumano M.A.","","Platform leadership: How intel, microsoft and cisco drive industry innovation",2002,"Platform Leadership: How Intel, Microsoft, and Cisco Drive Industry Innovation",,,,"","",,633,,2-s2.0-0013207517
