Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"World Economic Forum","","Shaping the future of construction - future scenarios and implications for the industry",2018,,,,,"","",,2,,2-s2.0-85063744544
"Global Construction Perspectives and Oxford Economics","","A Global Forecast for the Construction Industry by 2030",2015,,,,,"","",,1,,2-s2.0-85063724923
"de Almeida P.R., Bühler M., Gerbert P., Castagnino S., Rothballer C.","","Shaping the Future of Construction: A Breakthrough in Mindset and Technology",2016,"Shaping the Future of Construction: A Breakthrough in Mindset and Technology",,,,"","",,62,,2-s2.0-84994443555
[No author name available],[No author id available],[No title available],1997,"Global Competitiveness Report",,,,"","",,1716,,2-s2.0-0003396399
"Despotovic D., Cvetanovic S., Nedic V., Despotovic M.","55174334000;54396920700;56010452800;15070058500;","Economic, social and environmental dimension of sustainable competitiveness of European countries",2016,"Journal of Environmental Planning and Management","59","9",,"1656","1678",,13,"10.1080/09640568.2015.1085370",2-s2.0-84946426620
"Committee on Advancing the Productivity and Competitiveness of the U.S. Industry Workshop, Board on Infrastructure and the Constructed Environment, Division on Engineering and Physical Sciences, National Research Council","","Advancing the competitiveness and efficiency of the U.S. construction industry",2009,"Advancing the Competitiveness and Efficiency of the U.S. Construction Industry",,,,"1","114",,31,"10.17226/12717",2-s2.0-85032842835
"Al-Qutaifi S., Nazari A., Bagheri A.","57202071424;56214873500;56830191600;","Mechanical properties of layered geopolymer structures applicable in concrete 3D-printing",2018,"Construction and Building Materials","176",,,"690","699",,10,"10.1016/j.conbuildmat.2018.04.195",2-s2.0-85047085798
"Buswell R.A., Soar R.C., Gibb A.G.F., Thorpe A.","6602107780;9842797200;7103332661;7102836328;","Freeform Construction: Mega-scale Rapid Manufacturing for construction",2007,"Automation in Construction","16","2",,"224","231",,164,"10.1016/j.autcon.2006.05.002",2-s2.0-33846178681
"Farmer M.","","The Farmer Review of the UK Construction Labour Model",2016,"The Farmer Review of the UK Construction Labour Model",,,,"","",,32,,2-s2.0-85009812597
"Håkansson H., Ingemansson M.","7006451449;15725079600;","Industrial renewal within the construction network",2013,"Construction Management and Economics","31","1",,"40","61",,38,"10.1080/01446193.2012.737470",2-s2.0-84870868352
"The Scape Group","","Sustainability in the supply chain",2016,,,,,"","",,1,,2-s2.0-85063728360
"Nicholas P., Stasiuk D., Nørgaard E.C., Hutchinson C., Thomsen M.R.","","A multiscale adaptive mesh refinement approach to architectured steel specification in the design of a frameless stressed skin structure",2015,"Modelling Behaviour",,,,"17","34",,5,,2-s2.0-85011087261
"Schieber G., Koslowski V., Knippers J., Dorstelmann M., Prado M., Vasey L., Menges A.","","Integrated design and fabrication strategies for fibrous structures",2015,"Modelling Behaviour",,,,"237","245",,6,,2-s2.0-85011043993
"Gerbert P., Castagnino S., Rothballer C., Renz A., Filitz R.","","Digital in engineering and construction",2016,"The Transformative Power of Building Information Modeling",,,,"","",,12,,2-s2.0-85061777230
"European Construction Industry Federation","","Construction 4.0: challenges and opportunities",2017,,,,,"","",,1,,2-s2.0-85063723546
"Berger R.","","Think act - digitization in the construction industry - building Europe's road to “Construction 4.0.”",2016,,,,,"","",,1,,2-s2.0-85063744017
"Spence M.","","The rise of Construction 4.0. Construction global",2018,,,,,"","",,1,,2-s2.0-85063752088
"García de Soto B., Agustí-Juan I., Hunhevicz J., Joss S., Graser K., Habert G., Adey B.T.","57201875954;56204634800;57201881888;57201885481;57193861254;8391064400;6602448661;","Productivity of digital fabrication in construction: Cost and time analysis of a robotically built wall",2018,"Automation in Construction","92",,,"297","311",,16,"10.1016/j.autcon.2018.04.004",2-s2.0-85046347842
"Ghaffar S.H., Corker J., Fan M.","55613008100;57194767045;23018664400;","Additive manufacturing technology and its implementation in construction as an eco-innovative solution",2018,"Automation in Construction","93",,,"1","11",,16,"10.1016/j.autcon.2018.05.005",2-s2.0-85046999128
"García D., Plazaola X., Vegas I., Areizaga P.","","BIM for pre-demolition and refurbishment inventories and waste information management",2017,"Proceedings of HISER International Conference 2017: Advances in Recycling and Management of Construction and Demolition Waste",,,,"130","133",,1,,2-s2.0-85063753928
"Hu Z., Zhang J.","36147587900;56704651800;","BIM- and 4D-based integrated solution of analysis and management for conflicts and structural safety problems during construction: 2. Development and site trials",2011,"Automation in Construction","20","2",,"155","166",,137,"10.1016/j.autcon.2010.09.013",2-s2.0-79551684087
"Zhang S., Teizer J., Lee J.-K., Eastman C.M., Venugopal M.","55226269000;12753630700;57201264374;7102374797;26039554300;","Building Information Modeling (BIM) and Safety: Automatic Safety Checking of Construction Models and Schedules",2013,"Automation in Construction","29",,,"183","195",,305,"10.1016/j.autcon.2012.05.006",2-s2.0-84869092675
"Davtalab O., Kazemian A., Khoshnevis B.","57194701691;56685418400;7003846138;","Perspectives on a BIM-integrated software platform for robotic construction through Contour Crafting",2018,"Automation in Construction","89",,,"13","23",,11,"10.1016/j.autcon.2018.01.006",2-s2.0-85041487785
"Craveiro F., Bártolo H., Duarte J.P., Bártolo P.J.","54962936100;54959236900;8503535500;57189656315;","Customizing insulation material properties for building retrofitting: From infrared thermography to additive manufacturing",2018,"Proceedings of the International Conference on Progress in Additive Manufacturing","2018-May",,,"31","37",,2,"10.25341/D4MS3F",2-s2.0-85053640124
"Kota S., Haberl J.S., Clayton M.J., Yan W.","55907577100;7004226362;7103072924;7402221563;","Building Information Modeling (BIM)-based daylighting simulation and analysis",2014,"Energy and Buildings","81",,,"391","403",,43,"10.1016/j.enbuild.2014.06.043",2-s2.0-84905578177
"Natephra W., Motamedi A., Yabuki N., Fukuda T.","57195329594;6603546314;55948105700;57204534003;","Integrating 4D thermal information with BIM for building envelope thermal performance analysis and thermal comfort evaluation in naturally ventilated environments",2017,"Building and Environment","124",,,"194","208",,11,"10.1016/j.buildenv.2017.08.004",2-s2.0-85027230798
"Rahmani Asl M., Zarrinmehr S., Bergin M., Yan W.","56901386700;55497298200;56900895900;7402221563;","BPOpt: A framework for BIM-based performance optimization",2015,"Energy and Buildings","108",,,"401","412",,53,"10.1016/j.enbuild.2015.09.011",2-s2.0-84944058350
"Gerrish T., Ruikar K., Cook M., Johnson M., Phillip M., Lowry C.","57190220415;6507859039;8088592400;57024262000;55506981700;57206567467;","BIM application to building energy performance visualisation and managementChallenges and potential",2017,"Energy and Buildings","144",,,"218","228",,45,"10.1016/j.enbuild.2017.03.032",2-s2.0-85016504107
"Habibi S.","56193490000;","The promise of BIM for improving building performance",2017,"Energy and Buildings","153",,,"525","548",,31,"10.1016/j.enbuild.2017.08.009",2-s2.0-85028838110
"Virtanen J.-P., Hyyppä H., Kurkela M., Vaaja M., Alho P., Hyyppä J.","55191616000;6602238915;54407025800;16025865100;6508110053;7004260140;","Rapid prototyping - A tool for presenting 3-dimensional digital models produced by terrestrial laser scanning",2014,"ISPRS International Journal of Geo-Information","3","3",,"871","890",,4,"10.3390/ijgi3030871",2-s2.0-84948777060
"Xu J., Ding L., Love P.E.D.","57210253661;8909046000;57205302607;","Digital reproduction of historical building ornamental components: From 3D scanning to 3D printing",2017,"Automation in Construction","76",,,"85","96",,32,"10.1016/j.autcon.2017.01.010",2-s2.0-85010416796
"Birje M.N., Challagidad P.S., Goudar R.H., Tapale M.T.","14631504500;55558076600;24829300500;57201310675;","Cloud computing review: Concepts, technology, challenges and security",2017,"International Journal of Cloud Computing","6","1",,"32","57",,10,"10.1504/IJCC.2017.083905",2-s2.0-85044289704
"Chuang T.-H., Lee B.-C., Wu I.-C.","55312008100;56124684500;35115836500;","Applying cloud computing technology to BIM visualization and manipulation",2011,"Proceedings of the 28th International Symposium on Automation and Robotics in Construction, ISARC 2011",,,,"144","149",,33,,2-s2.0-84863760435
"Shawish A., Salama M.","26641361400;55516299600;","Cloud computing: Paradigms and technologies",2014,"Studies in Computational Intelligence","495",,,"39","67",,68,"10.1007/978-3-642-35016-0_2",2-s2.0-84958524298
"Dinh H.T., Lee C., Niyato D., Wang P.","55939550500;12644984900;8919714700;56508546500;","A survey of mobile cloud computing: Architecture, applications, and approaches",2013,"Wireless Communications and Mobile Computing","13","18",,"1587","1611",,1037,"10.1002/wcm.1203",2-s2.0-84888322916
"Wong J., Wang X., Li H., Chan G., Li H.","23101564800;8945580300;8692514900;37057025100;35194314500;","A review of cloud-based bim technology in the construction sector",2014,"Journal of Information Technology in Construction","19",,,"281","291",,37,,2-s2.0-84969951849
"Matthews J., Love P.E.D., Heinemann S., Chandler R., Rumsey C., Olatunj O.","7402836944;57205302607;56747393400;56747405000;56747600200;56747998200;","Real time progress management: Re-engineering processes for cloud-based BIM in construction",2015,"Automation in Construction","58",,,"38","47",,41,"10.1016/j.autcon.2015.07.004",2-s2.0-84938348521
"Chatziantoniou D., Pramatari K., Sotiropoulos Y.","6602566647;8969763900;24484208100;","Supporting real-time supply chain decisions based on RFID data streams",2011,"Journal of Systems and Software","84","4",,"700","710",,24,"10.1016/j.jss.2010.12.011",2-s2.0-79751531554
"Cisco","","Cisco IoT networking - deploy. Accelerate. Innovate",2017,"Cisco IoT Networking: Deploy. Accelerate. Innovate",,,,"","",,2,,2-s2.0-85053928365
"Stergiou C., Psannis K.E., Kim B.-G., Gupta B.","57197316769;14061014300;7501567302;34770593700;","Secure integration of IoT and Cloud Computing",2018,"Future Generation Computer Systems","78",,,"964","975",,176,"10.1016/j.future.2016.11.031",2-s2.0-85008227599
"Research L.","",[No title available],2014,"Building Smarter Manufacturing with the Internet of Things (IoT)",,,,"","",,17,,2-s2.0-84940381132
"Atzori L., Iera A., Morabito G.","57208011473;7007176996;7004480329;","The Internet of Things: A survey",2010,"Computer Networks","54","15",,"2787","2805",,6358,"10.1016/j.comnet.2010.05.010",2-s2.0-77956877124
"Khan M.A., Salah K.","55487944900;35617663600;","IoT security: Review, blockchain solutions, and open challenges",2018,"Future Generation Computer Systems","82",,,"395","411",,155,"10.1016/j.future.2017.11.022",2-s2.0-85035321551
"IBM","","Cognitive buildings with IBM Watson IoT",2017,,,,,"","",,1,,2-s2.0-85063731316
"Wei C., Li Y.","24175478100;36634435800;","Design of energy consumption monitoring and energy-saving management system of intelligent building based on the Internet of things",2011,"2011 International Conference on Electronics, Communications and Control, ICECC 2011 - Proceedings",,, 6066758,"3650","3652",,56,"10.1109/ICECC.2011.6066758",2-s2.0-81455140783
"IBM Security","","An integrated approach to insider threat protection",2016,,,,,"","",,1,,2-s2.0-85063753628
"Kehoe B., Patil S., Abbeel P., Goldberg K.","39461514300;56861640900;8269962600;35453491100;","A Survey of Research on Cloud Robotics and Automation",2015,"IEEE Transactions on Automation Science and Engineering","12","2", 7006734,"398","409",,283,"10.1109/TASE.2014.2376492",2-s2.0-84924680020
"Ben-Ari M., Mondada F.","7003907598;6603066571;","Elements of Robotics",2017,"Elements of Robotics",,,,"1","308",,7,"10.1007/978-3-319-62533-1",2-s2.0-85042620781
"Trevelyan J., Hamel W.R., Kang S.-C.","55537266200;7007123954;8385910900;","Robotics in hazardous applications",2016,"Springer Handbook of Robotics",,,,"1521","1548",,11,"10.1007/978-3-319-32552-1_58",2-s2.0-85069181607
"Oh J., Suppé A., Duvallet F., Boularias A., Navarro-Serment L., Hebert M., Stentz A., Vinokurov J., Romero O., Lebiere C., Dean R.","8974607800;6507412273;15725103800;23090275300;6508185748;7102121573;7006771602;52864898500;56347348100;6603004678;24381426800;","Toward mobile robots reasoning like humans",2015,"Proceedings of the National Conference on Artificial Intelligence","2",,,"1371","1379",,13,,2-s2.0-84959924074
"McCabe B.Y., Hamledari H., Shahi A., Zangeneh P., Azar E.R.","7103103969;57190003796;22981436200;54974346400;15134798800;","Roles, Benefits, and Challenges of Using UAVs for Indoor Smart Construction Applications",2017,"Congress on Computing in Civil Engineering, Proceedings","2017-June",,,"349","357",,9,,2-s2.0-85026859827
"Caterpillar","","Caterpillar and redbird to advance work site intelligence with drone analytics",2015,,,,,"","",,1,,2-s2.0-85063742326
"Caterpillar","","Drones and the job site of the future",2017,,,,,"","",,1,,2-s2.0-85063725493
"Hamledari H., McCabe B., Davari S., Shahi A.","57190003796;7103103969;57192155734;22981436200;","Automated Schedule and Progress Updating of IFC-Based 4D BIMs",2017,"Journal of Computing in Civil Engineering","31","4", 04017012,"","",,21,"10.1061/(ASCE)CP.1943-5487.0000660",2-s2.0-85018739191
"Howard J., Murashov V., Branche C.M.","7404033804;36895188300;6603697179;","Unmanned aerial vehicles in construction and worker safety",2018,"American Journal of Industrial Medicine","61","1",,"3","10",,7,"10.1002/ajim.22782",2-s2.0-85031111841
"Irizarry J., Gheisari M., Walker B.N.","9942842800;36459705300;7402208804;","Usability assessment of drone technology as safety inspection tools",2012,"Electronic Journal of Information Technology in Construction","17",,,"194","212",,79,,2-s2.0-84867885382
"Rakha T., Gorodetsky A.","37015819800;57202133284;","Review of Unmanned Aerial System (UAS) applications in the built environment: Towards automated building inspection procedures using drones",2018,"Automation in Construction","93",,,"252","264",,15,"10.1016/j.autcon.2018.05.002",2-s2.0-85047258837
"Goessens S., Mueller C., Latteur P.","57203318142;56555902400;22985046200;","Feasibility study for drone-based masonry construction of real-scale structures",2018,"Automation in Construction","94",,,"458","480",,4,"10.1016/j.autcon.2018.06.015",2-s2.0-85051264719
"Gramazio F., Kohler M., D'andrea R.","",[No title available],2012,"Flight Assembled Architecture",,,,"","",,12,,2-s2.0-84872850552
"Dams B., Sareh S., Zhang K., Shepherd P., Kovac M., Ball R.J.","","Remote three-dimensional printing of polymer structures using drones",2017,"Proceedings of the Institution of Civil Engineers - Construction Materials",,,,"1","31",,1,,2-s2.0-85063733035
"Castagnino S., Rothballer C., Abreu J., Zupancic T.","","6 ways the construction industry can build for the future",2018,,,,,"","",,1,,2-s2.0-85063729960
"Chakravarty S.","","Remodeling construction industry with digitization, BIM and reality capture",2017,,,,,"","",,1,,2-s2.0-85063735991
"Iyengar R.","","Bringing the best of manufacturing to the construction industry",2018,,,,,"","",,1,,2-s2.0-85063731170
"Craveiro F., De Matos J.M., Bártolo H., Bártolo P.","54962936100;55854183300;54959236900;57189656315;","An innovation system for building manufacturing",2012,"ASME 2012 11th Biennial Conference on Engineering Systems Design and Analysis, ESDA 2012","4",,,"175","179",,5,"10.1115/ESDA2012-82772",2-s2.0-84883870796
"Matsumoto F.","","Memories of architecture",2017,,,,,"","",,1,,2-s2.0-85063727082
"3D Systems","","Architectural models: 3d printing and additive manufacturing",2013,,,,,"","",,1,,2-s2.0-85063723470
"Barber G., Lafluf M., Amen F.G., Accuosto P.","","Interactive projection mapping in heritage: the Anglo Case",2017,"Future Trajectories of Computation in Design. Proceedings of the CAAD Futures 2017",,,,"337","348",,1,,2-s2.0-85063733043
"Beyer C.","54683504200;","Strategic Implications of Current Trends in Additive Manufacturing",2014,"Journal of Manufacturing Science and Engineering, Transactions of the ASME","136","6", 064701,"","",,65,"10.1115/1.4028599",2-s2.0-84924413738
"Frazier W.E.","7102997046;","Metal additive manufacturing: A review",2014,"Journal of Materials Engineering and Performance","23","6",,"1917","1928",,1313,"10.1007/s11665-014-0958-z",2-s2.0-84905724414
"Conner B.P., Manogharan G.P., Martof A.N., Rodomsky L.M., Rodomsky C.M., Jordan D.C., Limperos J.W.","56439269800;56439976600;56440263500;56440133100;56440249900;56438806100;56440088100;","Making sense of 3-D printing: Creating a map of additive manufacturing products and services",2014,"Additive Manufacturing","1",,,"64","76",,261,"10.1016/j.addma.2014.08.005",2-s2.0-84915827874
"Holmström J., Partanen J., Tuomi J., Walter M.","7003740924;7202098650;56363691700;36337409600;","Rapid manufacturing in the spare parts supply chain: Alternative approaches to capacity deployment",2010,"Journal of Manufacturing Technology Management","21","6",,"687","697",,145,"10.1108/17410381011063996",2-s2.0-77954994058
"Khajavi S.H., Partanen J., Holmström J.","55934538600;7202098650;7003740924;","Additive manufacturing in the spare parts supply chain",2014,"Computers in Industry","65","1",,"50","63",,219,"10.1016/j.compind.2013.07.008",2-s2.0-84888008047
