Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Amin A., Thrift N.","",[No title available],2002,"Cities: Reimagining the Urban",,,,"","",,1255,,2-s2.0-0004220963
"Amoore L.","",[No title available],2016,"History, algorithms, ethics",,,,"","",,1,,2-s2.0-85040815908
"Amoore L., Hall A.","6602465816;35105033800;","Taking people apart: Digitised dissection and the body at the border",2009,"Environment and Planning D: Society and Space","27","3",,"444","464",,86,"10.1068/d1208",2-s2.0-70350371730
"Amoore L., Piotukh V.","6602465816;24177241500;","Algorithmic life: Calculative devices in the age of big data",2015,"Algorithmic Life: Calculative Devices in the Age of Big Data",,,,"1","198",,8,"10.4324/9781315723242",2-s2.0-84960253650
"Aradau C., Blanke T.","","The (Big) Data-security assemblage: knowledge and critique",2015,"Big Data & Society","2","2",,"1","12",,26,,2-s2.0-84978841729
"Arikawa M., Tsuruoka K., Fujita H., Ome A.","7003937320;35561439300;55456413000;23019543200;","Place-tagged Podcasts with synchronized maps on mobile media players",2007,"Cartography and Geographic Information Science","34","4",,"293","303",,5,"10.1559/152304007782382945",2-s2.0-36549058751
"Arribas-Bel D.","36631516500;","Accidental, open and everywhere: Emerging data sources for the understanding of cities",2014,"Applied Geography","49",,,"45","53",,72,"10.1016/j.apgeog.2013.09.012",2-s2.0-84896033097
"Ash J.","35108833500;","Emerging spatialities of the screen: Video games and the reconfiguration of spatial awareness",2009,"Environment and Planning A","41","9",,"2105","2124",,38,"10.1068/a41250",2-s2.0-70350543878
"Ash J.","35108833500;","Teleplastic technologies: Charting practices of orientation and navigation in videogaming",2010,"Transactions of the Institute of British Geographers","35","3",,"414","430",,27,"10.1111/j.1475-5661.2010.00389.x",2-s2.0-77954448110
"Ash J.","35108833500;","Attention, Videogames and the Retentional Economies of Affective Amplification",2012,"Theory, Culture & Society","29","6",,"3","26",,52,"10.1177/0263276412438595",2-s2.0-84870466340
"Ash J.","","The Interface Envelope: Gaming, technology, power",2015,"The Interface Envelope: Gaming, Technology, Power",,,,"","",,51,,2-s2.0-84967113797
"Balchin W., Coleman A.","","Cartography and computers",1967,"The Cartographer","4",,,"120","127",,1,,2-s2.0-85040826799
"Batty M.","",[No title available],2013,"The New Science of Cities",,,,"","",,490,,2-s2.0-84902841880
"Blum A.","",[No title available],2012,"Tubes: A Journey to the Center of the Internet",,,,"","",,56,,2-s2.0-84877095758
"Bondi L., Domosh M.","6603977417;6701669727;","Other figures in other places: on feminism, postmodernism and geography",1992,"Environment & Planning D: Society & Space","10","2",,"199","213",,79,"10.1068/d100199",2-s2.0-0026492698
"Breathnach P.","6602899937;","Globalisation, information technology and the emergence of niche transnational cities: The growth of the call centre sector in Dublin",2000,"Geoforum","31","4",,"477","485",,49,"10.1016/S0016-7185(00)00016-6",2-s2.0-0033823074
"Cairncross F.","","The death of distance: How the communications revolution will change our lives",1997,"The Death of Distance: How the Communications Revolution Will Change Our Lives",,,,"","",,1284,,2-s2.0-0003860458
"Castells M.","",[No title available],1996,"The Rise of the Network Society",,,,"","",,12264,,2-s2.0-0003719468
"Chan A.H.-N.","9278165800;","'Life in Happy Land': Using virtual space and doing motherhood in Hong Kong",2008,"Gender, Place and Culture","15","2",,"169","188",,33,"10.1080/09663690701863281",2-s2.0-40749149641
"Cockayne D.","","Affect and value in critical examinations of the production and ‘prosumption’ of big data",0000,"Big Data & Society",,,,"","",,1,,2-s2.0-85040824205
"Crang M., Crang P., May J.","",[No title available],1999,"Virtual Geographies: Bodies, Space and Relations",,,,"","",,114,,2-s2.0-0003540861
"Crampton J.W., Graham M., Poorthuis A., Shelton T., Stephens M., Wilson M.W., Zook M.","7005574653;55536168100;37075676000;37023647300;55273780200;55709520500;6701534158;","Beyond the geotag: Situating 'big data' and leveraging the potential of the geoweb",2013,"Cartography and Geographic Information Science","40","2",,"130","139",,170,"10.1080/15230406.2013.777137",2-s2.0-84878598493
"Crawford K.","",[No title available],2014,"When FitBit is the expert witness. The Atlantic, 19 November",,,,"","",,2,,2-s2.0-85040841314
"Datta A.","12796188100;","New urban utopias of postcolonial India: ‘Entrepreneurial urbanization’ in Dholera smart city, Gujarat",2015,"Dialogues in Human Geography","5","1",,"3","22",,138,"10.1177/2043820614565748",2-s2.0-84975097242
"De Souza E Silva A.","14719110400;","From cyber to hybrid: Mobile technologies as interfaces of hybrid spaces",2006,"Space and Culture","9","3",,"261","278",,270,"10.1177/1206331206289022",2-s2.0-33749145721
"Deleuze G.","","Postscript on the societies of control",1992,"October","59","4",,"3","7",,1225,,2-s2.0-0002913383
"DeLyser D., Sui D.","6602441235;7004089387;","Crossing the qualitative- quantitative divide II: Inventive approaches to big data, mobile methods, and rhythmanalysis",2013,"Progress in Human Geography","37","2",,"293","305",,55,"10.1177/0309132512444063",2-s2.0-84875024343
"Dixon D.P., Jones III J.P.","7401748183;7406482644;","My dinner with Derrida, or spatial analysis and poststructuralism do lunch",1998,"Environment and Planning A","30","2",,"247","260",,82,"10.1068/a300247",2-s2.0-0031845474
"Dodge M., Kitchin R.","7003595288;26642984800;","Mapping cyberspace",2003,"Mapping Cyberspace",,,,"1","260",,132,"10.4324/9780203165270",2-s2.0-84906028440
"Dodge M., Kitchin R.","7003595288;26642984800;","Code and the transduction of space",2005,"Annals of the Association of American Geographers","95","1",,"162","180",,179,"10.1111/j.1467-8306.2005.00454.x",2-s2.0-27844476805
"Elwood S.","7004191943;","Beyond cooptation or resistance: Urban spatial politics, community organizations, and GIS-based spatial narratives",2006,"Annals of the Association of American Geographers","96","2",,"323","341",,135,"10.1111/j.1467-8306.2006.00480.x",2-s2.0-33750043277
"Elwood S., Leszczynski A.","7004191943;15021016400;","New spatial media, new knowledge politics",2013,"Transactions of the Institute of British Geographers","38","4",,"544","559",,103,"10.1111/j.1475-5661.2012.00543.x",2-s2.0-84883656423
"Fisher P., Unwin D.","","Virtual Reality in Geography",2002,"Virtual Reality in Geography",,,,"","",,69,,2-s2.0-0009508742
"Flood J.","",[No title available],2010,"The fires: How a computer formula, big ideas, and the best of intentions burned down New York City - and determined the future of cities",,,,"","",,26,,2-s2.0-81155127192
"Forero J.","","From Stone Age to Digital Age in One Big Leap",2013,"National Public Radio",,,,"","",,2,,2-s2.0-85035799569
"Foresman T.W.","",[No title available],1998,"The History of Geographic Information Systems: Perspectives from the Pioneers",,,,"","",,107,,2-s2.0-0003647174
"Foucault M.","","The confession of the flesh",1980,"Power/Knowledge: Selected Interviews and Other Writings 1972-1977",,,,"194","228",,706,,2-s2.0-0001944916
"Foucault M.","",[No title available],1977,"Discipline and Punish: The Birth of the Prison",,,,"","",,24551,,2-s2.0-0003823523
"Franklin S.","",[No title available],2015,"Control: Digitality As Cultural Logic",,,,"","",,25,,2-s2.0-84978401302
