Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Armstrong M.","7202399733;","Competition in two-sided markets",2006,"RAND Journal of Economics","37","3",,"668","691",,873,"10.1111/j.1756-2171.2006.tb00037.x",2-s2.0-33745596723
"Arnfield R.","",[No title available],2013,"When A Telco Turns to Banking [WWW Document]",,,,"","",,1,,2-s2.0-84939871089
"Aruksakunwong N.","",[No title available],2011,"Google Wallet - Search Giant's Attempt to Capture the Lucrative Mobile Payment Market",,,,"","",,1,,2-s2.0-84939796431
"Baldwin C.Y., Woodard C.J.","7201893924;35114158500;","The architecture of platforms: A unified view",2009,"Platforms, Markets and Innovation",,,,"19","44",,202,,2-s2.0-71949126345
"Balaban D.","",[No title available],2013,"Sprint to Take on ISIS with 'Open' NFC Platform; Won't Offer Own Wallet",,,,"","",,1,,2-s2.0-84939871090
"Balaban D.","",[No title available],2013,"People on the Move: Early ISIS Planner Bierbaum Departs Sprint; NFC Veterans from Citi Orange Join C-SAM",,,,"","",,1,,2-s2.0-84939871091
"Balaban D.","",[No title available],2013,"Google Introduces Update to Wallet App; Continues Support for NFC for In-Store Payments [WWW Document]",,,,"","",,1,,2-s2.0-84939871092
"Balaban D.","",[No title available],2013,"Special Report: Google Backs Host-card Emulation, but Visa and MasterCard Could Hold Keys to Success",,,,"","",,1,,2-s2.0-84939871093
"Bass F.M.","","A new product growth model for consumer durables",1969,"Management Science","15","5",,"215","227",,3497,,2-s2.0-0001449665
"Bloomberg B.","",[No title available],2014,"Company Overview of HAREX InfoTech Inc. [WWW Document]",,,,"","",,1,,2-s2.0-84939871094
"Boudreau K.","36439037700;","Open platform strategies and innovation: Granting access vs. devolving control",2010,"Management Science","56","10",,"1849","1872",,259,"10.1287/mnsc.1100.1215",2-s2.0-77958033399
"Boudreau K.J., Hagiu A.","",[No title available],2008,"Platform Rules: Multi-Sided Platforms As Regulators",,,,"163","191",,1,,2-s2.0-84939785957
"Bradford T., Hayashi F.","","Complex landscapes: Mobile payments in Japan, South Korea, and the United States, payments system research briefing",2007,"Federal Reserve Bank of Kansas City",,,,"","",,2,,2-s2.0-84939781600
"Caillaud B., Jullien B.","55938405900;6603074966;","Chicken & egg: Competition among intermediation service providers",2003,"RAND Journal of Economics","34","2",,"309","328",,534,"10.2307/1593720",2-s2.0-0043246466
"Ceccagnoli M., Forman C., Huang P., Wu D.J.","12763523200;6603788047;55189357100;7404297774;","Cocreation of valueina platform ecosystem : the case of enterprise software",2012,"MIS Quarterly: Management Information Systems","36","1",,"263","290",,266,,2-s2.0-84859832893
"Chakravorti S., Roson R.","","Platform competition in two-sided markets: The case of payment networks",2006,"Review of Network Economics","5","1",,"118","142",,38,,2-s2.0-41749085151
"Chau P.Y.K., Poon S.","","Octopus: An e-cash payment system success story",2003,"Communications of the ACM","46","9",,"129","133",,32,,2-s2.0-33746654389
[No author name available],[No author id available],[No title available],2014,"Quick Facts [WWW Document]",,,,"","",,1,,2-s2.0-84939871095
"Clark S.","",[No title available],2011,"Isis Signs Up Visa, MasterCard, Discover and Amex for NFC Mobile Payments [WWW Document]",,,,"","",,1,,2-s2.0-84939871096
"Clark S.","",[No title available],2013,"Isis NFC Mobile Wallet Goes Live Across the US [WWW Document]",,,,"","",,1,,2-s2.0-84939813662
"Cusumano M.A., Gawer A.","7003834648;6506170616;","The elements of platform leadership",2002,"MIT Sloan Management Review","43","3",,"51","58",,198,,2-s2.0-0040675528
"Davis F.D.","55817507700;","Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,"MIS Quarterly: Management Information Systems","13","3",,"319","339",,19359,,2-s2.0-55249087535
"Dorazio D.","",[No title available],2012,"Google Wallet Overhauled: Support for Major Credit and Debit Cards, New Remoteffdisable Feature [WWW Document]",,,,"","",,1,,2-s2.0-84939871097
"Economides N., Katsamakas E.","7003763564;22985533000;","Two-sided competition of proprietary vs. open source technology platforms and the implications for the software industry",2006,"Management Science","52","7",,"1057","1071",,222,"10.1287/mnsc.1060.0549",2-s2.0-33745625086
"Economides N., Tåg J.","7003763564;26639903700;","Network neutrality on the Internet: A two-sided market analysis",2012,"Information Economics and Policy","24","2",,"91","104",,134,"10.1016/j.infoecopol.2012.01.001",2-s2.0-84861337086
"Eisenhardt K.M.","","Building theories from case study research",1989,"Academy of Management Review","14","4",,"532","550",,18655,,2-s2.0-0001073758
"Eisenmann T.R.","6603030219;","Managing proprietary and shared platforms",2008,"California Management Review","50","4",,"31","53",,61,"10.2307/41166455",2-s2.0-51649106496
"Eisenmann T., Parker G., Van Alstyne M.W.","6603030219;8858334600;8960223000;","Strategies for two-sided markets",2006,"Harvard Business Review","84","10",,"92","101+149",,528,,2-s2.0-33749685216
"Eisenmann T.R., Parker G., Van Alstyne M.","6603030219;8858334600;8960223000;","Opening platforms: How, when and why?",2009,"Platforms, Markets and Innovation",,,,"131","162",,113,,2-s2.0-77958042047
"Eisenmann T., Parker G., Van Alstyne M.","6603030219;8858334600;8960223000;","Platform envelopment",2011,"Strategic Management Journal","32","12",,"1270","1285",,204,"10.1002/smj.935",2-s2.0-80053564187
"Evans D.S.","","The Antitrust Economics of Two-Sided Markets",2002,"The Antitrust Economics of Two-Sided Markets",,,,"","",,19,,2-s2.0-36749064514
"Evans D.S.","","Some empirical aspects of multi-sided platform industries",2003,"Review of Network Economics","2","3",,"191","209",,176,,2-s2.0-27844482233
"Evans D.S.","55478758900;","How catalysts ignite: The economics of platform-based start-ups",2009,"Platforms, Markets and Innovation",,,,"99","128",,50,,2-s2.0-84872551592
"Evans D.S.","","Governing bad behavior by users of multi-sided platforms",2012,"Berkeley Technology Law Journal","27","27",,"1201","1250",,25,,2-s2.0-84874085860
"Evans D.S., Hagiu A., Schmalensee R.","",[No title available],2006,"Invisible Engines",,,,"","",,15,,2-s2.0-50849085097
"Evans D.S., Schmalensee R.","","The industrial organization of markets with two-sided platforms",2007,"Competition Policy International","3","1",,"151","179",,109,,2-s2.0-77951093064
"Evans D.S., Schmalensee R.","55478758900;6701638299;","Failure to launch: Critical mass in platform businesses",2010,"Review of Network Economics","9","4", 1,"","",,70,"10.2202/1446-9022.1256",2-s2.0-80051992769
"Fiercewireless","",[No title available],2013,"Grading the Top U.S. Wireless Carriers in the Third Quarter of 2013 [WWW Document]",,,,"","",,1,,2-s2.0-84939785918
"Finextra","",[No title available],2002,"Visa and SK Telecom Partner for Infrared Mobile Payments",,,,"","",,1,,2-s2.0-84939871098
"French C.","",[No title available],2013,"Rogers Comms to Launch Credit Card Next Year",,,,"","",,1,,2-s2.0-84939871099
"Gabszewicz J.J., Wauthy X.Y.","","Two-sided markets and price competition with multi-homing",2004,"Two-sided Markets and Price Competition with Multi-homing",,,,"","",,31,,2-s2.0-34249752789
"Loren G.","","Is there a multisided market in your future?",2004,"Harvard Management Update","9","5",,"3","5",,2,,2-s2.0-34547606074
"Gawer A.","6506170616;","Platforms, markets and innovation: An introduction",2009,"Platforms, Markets and Innovation",,,,"1","16",,36,,2-s2.0-71949083788
"Gawer A., Cusumano M.","",[No title available],2002,"Platform Leadership",,,,"","",,95,,2-s2.0-0042960611
"Gawer A., Henderson R.","6506170616;7402183437;","Platform owner entry and innovation in complementary markets: Evidence from Intel",2007,"Journal of Economics and Management Strategy","16","1",,"1","34",,197,"10.1111/j.1530-9134.2007.00130.x",2-s2.0-33846291902
"Greenstein S.","",[No title available],1996,"Invisible Hand Versus Invisible Advisors: Coordination Mechanisms in Economic Networks, in E. Noam and A. Nishuilleabhain (Eds.",,,,"","",,1,,2-s2.0-84939871101
[No author name available],[No author id available],[No title available],0000,"Public Objectives Amsterdam",,,,"135","161",,1,,2-s2.0-84939871102
"Hagiu A.","23008463100;","Pricing and commitment by two-sided platforms",2006,"RAND Journal of Economics","37","3",,"720","737",,142,"10.1111/j.1756-2171.2006.tb00039.x",2-s2.0-34147130541
"Hagiu A.","","Proprietary vs. open two-sided platforms and social efficiency",2006,"Proprietary Vs. Open Two-sided Platforms and Social Efficiency",,,,"","",,13,,2-s2.0-79952972094
"Hagiu A., Wright J.","","Multi-sided platforms",2011,"Multi-Sided Platforms",,,,"","",,61,,2-s2.0-84866788200
